epoch,J,MI_lb,E_total,E_met,compute_cost,rule,lambda,gamma,seed,energy_ratio
196,-40.40590919648416,1.0766480575245687,4148.255725400873,602.2176661081569,197,EProp,0.01,0.1,0,0.3979085990572142
197,-40.49445147101807,0.9745347320722604,4146.898620309033,600.1983073870404,198,EProp,0.01,0.1,0,0.39777842294908244
198,-40.493111081345255,0.9851955481342268,4147.830662947948,602.0788143457315,199,EProp,0.01,0.1,0,0.3978678262562223
199,-40.4911539323561,0.9593234267051978,4145.04773590613,600.1264577997205,200,EProp,0.01,0.1,0,0.39760088258789733
0,-104.45507370649788,0.0,10445.507370649788,1536.0137536600052,1,EProp,0.01,0.1,1,1.0
1,-96.2382738011987,0.0,9623.82738011987,1400.713665899846,2,EProp,0.01,0.1,1,0.9213365170907153
2,-84.32133580031801,0.0,8432.133580031801,1211.4143179273406,3,EProp,0.01,0.1,1,0.8072497850822214
3,-72.8059142623943,0.0,7280.591426239429,1052.7336124265792,4,EProp,0.01,0.1,1,0.6970069684404926
4,-63.27802314052979,0.0,6327.8023140529785,919.3595023671955,5,EProp,0.01,0.1,1,0.6057917619045576
5,-56.13381792579551,0.0,5613.38179257955,807.598588223816,6,EProp,0.01,0.1,1,0.5373967576100955
6,-51.19656061168059,0.055426575326408,5125.1987187007,735.9195473886028,7,EProp,0.01,0.1,1,0.49066058132338236
7,-47.83120051400233,0.1238485938173346,4795.504910781967,688.4964112579137,8,EProp,0.01,0.1,1,0.4590973650793232
8,-45.69531300160546,0.0716432017992612,4576.6956203404725,660.4148351980427,9,EProp,0.01,0.1,1,0.4381496712357179
9,-44.235161088072445,0.0507415593443631,4428.590264741681,644.6671547110616,10,EProp,0.01,0.1,1,0.4239708142071982
10,-43.16946812715945,0.0145773134092683,4318.404544056872,626.9069631260722,11,EProp,0.01,0.1,1,0.4134221910743082
11,-42.22708168764845,0.1254004916970847,4235.248217934553,607.4268961076492,12,EProp,0.01,0.1,1,0.4054612253527221
12,-41.88102458405727,0.1110639783847471,4199.208856244202,611.4077312674915,13,EProp,0.01,0.1,1,0.40201099929748846
13,-41.32992823971404,0.0969226794508846,4142.685091916493,584.5717610324384,14,EProp,0.01,0.1,1,0.39659970022679586
14,-41.25060337332922,0.1888293832186294,4143.943275654785,602.5253528257458,15,EProp,0.01,0.1,1,0.3967201523689127
15,-41.222128103104666,0.0934191618022719,4131.554726490694,603.7268614062205,16,EProp,0.01,0.1,1,0.39553413538338067
16,-40.93455222143328,0.1669950165114637,4110.154723794474,594.0304080372191,17,EProp,0.01,0.1,1,0.3934854074530984
17,-40.91071689855408,0.0970485187589482,4100.776541731302,590.0611256903951,18,EProp,0.01,0.1,1,0.3925875877751837
18,-40.73272164834312,0.2261702053530987,4095.889185369622,589.6001763294726,19,EProp,0.01,0.1,1,0.3921196970171519
19,-40.911266597167455,0.1466457718299691,4105.791236899742,600.3458505246072,20,EProp,0.01,0.1,1,0.3930676693059795
20,-40.70901092004377,0.1148668166300774,4082.387773667384,580.8314595314191,21,EProp,0.01,0.1,1,0.3908271402055819
21,-40.77223568985468,0.2097019016179278,4098.19375914726,596.5895459780699,22,EProp,0.01,0.1,1,0.3923403252447585
22,-40.89823852978597,0.1956271922925276,4109.386572207849,608.845203623104,23,EProp,0.01,0.1,1,0.39341186850861554
23,-40.773966470640495,0.1794942916248851,4095.3460762265377,597.9622923776831,24,EProp,0.01,0.1,1,0.39206770249703793
24,-40.634377740215925,0.2471749365222715,4088.1552676738193,591.4425989243331,25,EProp,0.01,0.1,1,0.39137929088642304
25,-40.70050156733828,0.1887098020223132,4088.921136936059,590.3149135352539,26,EProp,0.01,0.1,1,0.39145261133272247
26,-40.60132079399991,0.1554625223345542,4075.6783316334463,576.5625330731896,27,EProp,0.01,0.1,1,0.39018481218877443
