rule,seed,epoch,J,MI_lb,E_total,compute_cost
Oja,1,158,-104.05814941099398,1.8861765525450744,10594.432596353905,159
Oja,1,159,-104.5732359062594,1.4042551632527283,10597.749106951213,160
Oja,1,160,-105.26226881655002,0.7436755010510319,10600.594431760104,161
Oja,1,161,-105.97210586311729,0.0,10597.210586311729,162
Oja,1,162,-104.7537500919769,1.188176822604543,10594.192691458144,163
Oja,1,163,-104.56514328610135,1.211729311236275,10577.68725973376,164
Oja,1,164,-105.2051273723143,0.903869270093117,10610.89966424074,165
Oja,1,165,-104.52528424456979,1.5730200437921145,10609.83042883619,166
Oja,1,166,-104.6764386275913,1.2859236802263094,10596.23623078176,167
Oja,1,167,-104.48085229787759,1.3408527153495209,10582.170501322711,168
Oja,1,168,-104.17662159510726,1.8562283695627242,10603.284996466999,169
Oja,1,169,-105.04151538880448,0.8766420485643218,10591.81574373688,170
Oja,1,170,-104.56043606814808,1.3418740602324881,10590.231012838056,171
Oja,1,171,-104.47342952026503,1.5989902485617251,10607.241976882675,172
Oja,1,172,-104.82518931227526,1.4790278223650999,10630.421713464035,173
Oja,1,173,-104.04242843925407,1.8392247637808072,10588.165320303488,174
Oja,1,174,-104.51392625235971,1.4649967798752566,10597.892303223496,175
Oja,1,175,-104.2387989991145,1.6425657706937873,10588.136476980828,176
Oja,1,176,-104.90965867114403,1.1324798067649633,10604.2138477909,177
Oja,1,177,-104.24832252497377,1.8541147240112177,10610.243724898499,178
Oja,1,178,-104.4561605763808,1.6605916268822236,10611.675220326302,179
Oja,1,179,-104.48545281136862,1.7117116625634212,10619.716447393203,180
Oja,1,180,-104.71464207255248,1.4922915380308854,10620.693361058336,181
Oja,1,181,-104.9276134953261,1.3443745119795794,10627.198800730568,182
Oja,1,182,-105.0949078910613,1.1987086630348855,10629.361655409619,183
Oja,1,183,-103.96133625136274,2.094407192802837,10605.574344416556,184
Oja,1,184,-104.03103467768233,2.0420559029668004,10607.309058064911,185
Oja,1,185,-104.29564284147952,1.8115257818472745,10610.71686233268,186
Oja,1,186,-104.84951153598733,1.3198372477454603,10616.934878373278,187
Oja,1,187,-104.37242680403853,1.6541566006362487,10602.658340467477,188
Oja,1,188,-104.9518641157899,1.364771698643175,10631.663581443308,189
Oja,1,189,-104.1281172080597,2.169611265100289,10629.772847315999,190
Oja,1,190,-104.50897505521459,1.888261678240898,10639.723673345548,191
Oja,1,191,-104.06540065076774,1.9103062428989888,10597.570689366672,192
Oja,1,192,-103.87554519330415,2.1542735766907963,10602.981876999494,193
Oja,1,193,-104.46994990633138,1.7453505171246366,10621.530042345601,194
Oja,1,194,-104.25088878496064,1.8520717018140487,10610.296048677468,195
